ProjectedLong,ProjectedLat,PSA_NUM2025,DIST_NUM2025,TRACTCEN,BLKGRPCEN,CenPOP2020,UniqueID,Long,Lat
-8367917.292,4855483.929,11,1,3001,2,794,300100020,-75.17028,39.927993
-8370147.801,4855617.626,11,1,3600,1,1899,360000010,-75.190317,39.928914
-8370212.032,4855016.076,11,1,3600,3,2204,360000030,-75.190894,39.92477
-8368666.25,4855489.155,11,1,3701,1,1120,370100010,-75.177008,39.928029
-8368712.225,4855230.766,11,1,3701,2,1017,370100020,-75.177421,39.926249
-8368982.843,4855414.686,11,1,3701,3,1177,370100030,-75.179852,39.927516
-8369490.905,4855454.461,11,1,3701,4,1281,370100040,-75.184416,39.92779
-8369236.317,4855464.913,11,1,3701,5,1511,370100050,-75.182129,39.927862
-8368987.852,4854984.286,11,1,3702,1,1558,370200010,-75.179897,39.924551
-8369385.708,4854993.286,11,1,3702,2,1472,370200020,-75.183471,39.924613
-8369624.154,4854914.321,11,1,3702,3,648,370200030,-75.185613,39.924069
-8368855.827,4854417.609,11,1,3800,1,967,380000010,-75.178711,39.920647
-8368812.858,4854753.054,11,1,3800,2,882,380000020,-75.178325,39.922958
-8369106.407,4854567.84,11,1,3800,3,954,380000030,-75.180962,39.921682
-8369648.533,4853815.406,12,1,3800,4,17,380000040,-75.185832,39.916498
-8369027.37,4854030.215,11,1,3800,5,1000,380000050,-75.180252,39.917978
-8368060.338,4855057.591,11,1,3901,1,1449,390100010,-75.171565,39.925056
-8368095.626,4854616.175,11,1,3901,2,1283,390100020,-75.171882,39.922015
-8368446.171,4854615.739,11,1,3901,3,1854,390100030,-75.175031,39.922012
-8368392.404,4855145.557,11,1,3901,4,1633,390100040,-75.174548,39.925662
-8368161.75,4854255.189,11,1,3902,1,1416,390200010,-75.172476,39.919528
-8368482.016,4853612.067,12,1,3902,2,2523,390200020,-75.175353,39.915097
-8368439.715,4854069.839,11,1,3902,3,1758,390200030,-75.174973,39.918251
-8368407.209,4852894.826,12,1,37300,1,1754,3730000010,-75.174681,39.910155
-8369236.651,4852882.78,12,1,37300,2,2164,3730000020,-75.182132,39.910072
-8369882.749,4851783.654,12,1,37300,3,1363,3730000030,-75.187936,39.902498
-8369946.981,4853135.739,12,1,37300,4,632,3730000040,-75.188513,39.911815
-8371624.899,4854996.044,11,1,980904,1,1,98090400010,-75.203586,39.924632
-8371365.302,4851221.948,12,1,980905,1,0,98090500010,-75.201254,39.898627
-8371048.153,4852811.668,12,1,980906,1,0,98090600010,-75.198405,39.909582
-8370580.834,4850982.678,12,1,989200,1,0,98920000010,-75.194207,39.896978
-8370099.488,4849738.97,12,1,989200,2,3,98920000020,-75.189883,39.888406
-8369111.862,4850933.054,12,1,989200,3,0,98920000030,-75.181011,39.896636
-8368976.163,4849605.497,12,1,989200,4,0,98920000040,-75.179792,39.887486
-8368089.726,4849924.965,12,1,989200,5,0,98920000050,-75.171829,39.889688
-8366272.213,4850525.047,12,1,989200,6,0,98920000060,-75.155502,39.893824
-8366348.244,4850020.575,12,1,989200,7,0,98920000070,-75.156185,39.890347
-8360579.891,4871610.11,22,2,29100,1,729,2910000010,-75.104367,40.038992
-8361134.93,4871051.352,22,2,29100,2,1828,2910000020,-75.109353,40.035149
-8360768.577,4870594.831,22,2,29100,3,1424,2910000030,-75.106062,40.032009
-8361097.415,4870258.124,22,2,29100,4,845,2910000040,-75.109016,40.029693
-8359799.986,4872438.49,22,2,30501,1,1512,3050100010,-75.097361,40.044689
-8360091.866,4871874.16,22,2,30501,2,1662,3050100020,-75.099983,40.040808
-8360228.789,4872079.764,22,2,30501,3,2276,3050100030,-75.101213,40.042222
-8360348.458,4872677.26,22,2,30502,1,1199,3050200010,-75.102288,40.046331
-8360688.093,4872836.492,22,2,30502,2,1340,3050200020,-75.105339,40.047426
-8360571.987,4873093.013,22,2,30502,3,1051,3050200030,-75.104296,40.04919
-8360566.198,4872155.957,22,2,30502,4,1514,3050200040,-75.104244,40.042746
-8360968.062,4872432.528,22,2,30502,5,743,3050200050,-75.107854,40.044648
-8360031.308,4873184.775,22,2,30600,1,1397,3060000010,-75.099439,40.049821
-8358900.08,4873135.913,22,2,30600,2,1835,3060000020,-75.089277,40.049485
-8359620.094,4873646.796,22,2,30600,3,1901,3060000030,-75.095745,40.052998
-8359427.734,4872957.481,22,2,30600,4,2009,3060000040,-75.094017,40.048258
-8358637.143,4874371.937,23,2,30700,1,1258,3070000010,-75.086915,40.057984
-8358843.752,4873694.643,22,2,30700,2,744,3070000020,-75.088771,40.053327
-8358955.072,4874491.781,23,2,30700,3,1741,3070000030,-75.089771,40.058808
-8358128.858,4874148.107,23,2,30800,1,834,3080000010,-75.082349,40.056445
